Threads,Mean,Std,SpeedUp Real,Accuracy Real,Sim Without Memory Hierachy,SpeedUp Sim Without Memory Hierachy,Accuracy Without Memory Hierarchy,Sim Data Read Model,SpeedUp Sim Data Read Model,Accuracy Sim Data Read Model,Recalibrated Sim Data Read Model,SpeedUp Recalibrated Sim Data Read Model,Accuracy Recalibrated Sim Data Read Model,Sim Recalib With Cache Line,SpeedUp Sim Recalib With Cache Line,Accuracy Sim Recalib With Cache Line,Sim With Cacheline and Multicore Scaling L3-Dram Bandwidth,SpeedUp Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth,Accuracy Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth
1,45964.55623,484.8866513,1,0,45964,1,-0.0000121011883,51837,0.8867132787,0.1277602626,45964,1,-0.0000121011883,45964,1,-0.0000121011883,45964,1,-0.0000121011883
2,24077.81779,559.7089682,1.909000086,0,23082,1.99133524,-0.0413583075,26037,1.765355311,0.08136876127,23101,1.989697416,-0.04056919944,24896,1.84624036,0.03398074589,23540,1.952591334,-0.02233665014
4,14850.7086,425.8188361,3.095108621,0,11591,3.965490467,-0.2194985229,13186,3.485860475,-0.1120962405,11718,3.922512374,-0.2109467425,14408,3.190172127,-0.02981060466,11959,3.843465173,-0.1947185606
6,9909.440633,648.5901976,4.638461234,0,7760,5.923195876,-0.2169083718,8830,5.205499006,-0.1089305313,7851,5.854540823,-0.2077252097,9509,4.83373646,-0.04041001385,7835,5.86649649,-0.2093398316
8,8270.817101,327.4302503,5.55743836,0,5845,7.863815227,-0.2932983611,6665,6.896407536,-0.1941545897,5931,7.749789243,-0.2829003558,7354,6.250203971,-0.1108496403,5873,7.826323855,-0.289912964
10,6770.732769,202.6308039,6.788712211,0,4696,9.7879046,-0.3064266217,5357,8.580279303,-0.2088005563,4770,9.6360587,-0.2954972286,5943,7.734141006,-0.1222515785,4762,9.652246955,-0.2966787846
12,5737.401544,181.3101642,8.011389106,0,3930,11.6956743,-0.3150209254,4483,10.25307968,-0.2186358292,3993,11.5111445,-0.3040403448,4958,9.270673659,-0.1358457375,3943,11.65711387,-0.3127550913
14,5330.647971,187.001451,8.622695866,0,3383,13.58675732,-0.3653679594,3863,11.89866845,-0.275322621,3443,13.34998548,-0.3541122921,4356,10.55188246,-0.1828385548,3436,13.37718277,-0.3554254533
16,4281.43044,161.588441,10.73579423,0,2972,15.46567968,-0.3058394755,3386,13.57488371,-0.209142821,3019,15.22490891,-0.294861836,3717,12.36588647,-0.1318322108,3023,15.20476348,-0.2939275688
18,3952.707278,180.4385737,11.62862641,0,2653,17.32529212,-0.3288144521,3027,15.18485505,-0.2341957582,2701,17.01740096,-0.3166708764,3378,13.60686797,-0.145395861,2673,17.19566031,-0.3237546289
20,3687.217754,238.5585529,12.46591856,0,2398,19.1676397,-0.3496451363,2744,16.75093157,-0.2558074454,2450,18.76081633,-0.335542362,3084,14.90402075,-0.1635969977,2457,18.70736671,-0.3336439116
24,3011.389602,248.8046299,15.26357008,0,2015,22.81091811,-0.3308736941,2310,19.89807629,-0.2329122746,2065,22.25859564,-0.3142700636,2574,17.85703186,-0.145245106,2026,22.68706811,-0.3272208954
28,2685.325471,304.7287085,17.11694047,0,1741,26.40091901,-0.3516614582,2002,22.95931879,-0.254466536,1792,25.64955357,-0.3326693469,2239,20.5288075,-0.166209078,1779,25.83698707,-0.3375104733
32,2390.678416,354.3906224,19.22657432,0,1536,29.92447917,-0.3575045518,1771,25.95401255,-0.2592060946,1588,28.94458438,-0.3357534038,1992,23.07429719,-0.1667637157,1551,29.63507415,-0.3512301822
36,2386.317019,312.5748513,19.26171412,0,1376,33.40406977,-0.4233792121,1592,28.87220868,-0.3328631582,1429,32.16515045,-0.4011692544,1809,25.40851299,-0.2419280484,1413,32.52937013,-0.4078741473
40,2037.23639,330.6257005,22.56221048,0,1249,36.80064051,-0.3869145446,1439,31.94201267,-0.2936509445,1292,35.57585139,-0.3658075193,1615,28.46068111,-0.2072593991,1266,36.30647709,-0.3785699067
48,1640.473966,296.3628306,28.01907082,0,1057,43.48533586,-0.3556740173,1215,37.83091047,-0.2593603888,1093,42.05306496,-0.3337291399,1430,32.14265734,-0.1283007045,1102,41.70961887,-0.3282429205
56,1575.906314,440.6080898,29.16706141,0,920,49.96086957,-0.416208951,1058,43.44476014,-0.3286402936,954,48.1802935,-0.3946340644,1288,35.6863354,-0.1826925314,974,47.19096509,-0.3819429546
64,1437.669117,408.4694465,31.97158211,0,818,56.19070905,-0.43102346,939,48.95053911,-0.3468594486,847,54.26682409,-0.4108519201,1187,38.72283067,-0.1743580037,880,52.23181818,-0.3878980988
72,1273.743657,428.9897835,36.08619047,0,738,62.28184282,-0.4206055546,846,54.33162674,-0.3358161235,764,60.16230366,-0.4001932841,1150,39.96869565,-0.09714957688,804,57.16915423,-0.3687897911
80,1194.06897,356.4952693,38.4940547,0,674,68.1958457,-0.4355434927,770,59.69422886,-0.3551461267,697,65.94548063,-0.4162816238,986,46.61663286,-0.1742520531,729,63.05075446,-0.3894825017